"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH A 1/2008","122557","Elefant",""
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 2/2008","122558","Tiger",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 7/2008","122563","Hund",""
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 6/2008","122562","Get",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 9/2008","122565","Får",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMH A 5/2008","122561","Björn",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
"NMKA 45","183395","Ivar Arosenius brev till sin mamma",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 46","183396","Ivar Arosenius brev till sin mamma",""
"NMKA 48","183398","Ivar Arosenius brev till sin mamma",""
"NMKA 49","183399","Ivar Arosenius brev till sin mamma",""
"NMKA 50","183400","Ivar Arosenius brev till sin mamma",""
"NMKA 52","183402","Ivar Arosenius brev till sin mamma",""
"NMKA 51","183401","Ivar Arosenius brev till sin mamma",""
"NMKA 47","183397","Ivar Arosenius brev till sin mamma",""
"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMH A 2/2008","122558","Tiger",""
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 1/2008","122557","Elefant",""
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH A 7/2008","122563","Hund",""
"NMH A 5/2008","122561","Björn",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH A 9/2008","122565","Får",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMH A 6/2008","122562","Get",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 46","183396","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 49","183399","Ivar Arosenius brev till sin mamma",""
"NMKA 47","183397","Ivar Arosenius brev till sin mamma",""
"NMKA 48","183398","Ivar Arosenius brev till sin mamma",""
"NMKA 50","183400","Ivar Arosenius brev till sin mamma",""
"NMKA 45","183395","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
"NMKA 52","183402","Ivar Arosenius brev till sin mamma",""
"NMKA 51","183401","Ivar Arosenius brev till sin mamma",""
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 1/2008","122557","Elefant",""
"NMH A 2/2008","122558","Tiger",""
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 6/2008","122562","Get",""
"NMH A 7/2008","122563","Hund",""
"NMH A 5/2008","122561","Björn",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH A 9/2008","122565","Får",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 47","183397","Ivar Arosenius brev till sin mamma",""
"NMKA 45","183395","Ivar Arosenius brev till sin mamma",""
"NMKA 46","183396","Ivar Arosenius brev till sin mamma",""
"NMKA 48","183398","Ivar Arosenius brev till sin mamma",""
"NMKA 49","183399","Ivar Arosenius brev till sin mamma",""
"NMKA 50","183400","Ivar Arosenius brev till sin mamma",""
"NMKA 51","183401","Ivar Arosenius brev till sin mamma",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 52","183402","Ivar Arosenius brev till sin mamma",""
"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 1/2008","122557","Elefant",""
"NMH A 2/2008","122558","Tiger",""
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 5/2008","122561","Björn",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 6/2008","122562","Get",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMH A 7/2008","122563","Hund",""
"NMH A 9/2008","122565","Får",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 46","183396","Ivar Arosenius brev till sin mamma",""
"NMKA 45","183395","Ivar Arosenius brev till sin mamma",""
"NMKA 47","183397","Ivar Arosenius brev till sin mamma",""
"NMKA 49","183399","Ivar Arosenius brev till sin mamma",""
"NMKA 48","183398","Ivar Arosenius brev till sin mamma",""
"NMKA 51","183401","Ivar Arosenius brev till sin mamma",""
"NMKA 50","183400","Ivar Arosenius brev till sin mamma",""
"NMKA 52","183402","Ivar Arosenius brev till sin mamma",""
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 1/2008","122557","Elefant",""
"NMH A 2/2008","122558","Tiger",""
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 5/2008","122561","Björn",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 6/2008","122562","Get",""
"NMH A 7/2008","122563","Hund",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 9/2008","122565","Får",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 45","183395","Ivar Arosenius brev till sin mamma",""
"NMKA 46","183396","Ivar Arosenius brev till sin mamma",""
"NMKA 47","183397","Ivar Arosenius brev till sin mamma",""
"NMKA 48","183398","Ivar Arosenius brev till sin mamma",""
"NMKA 49","183399","Ivar Arosenius brev till sin mamma",""
"NMKA 50","183400","Ivar Arosenius brev till sin mamma",""
"NMKA 51","183401","Ivar Arosenius brev till sin mamma",""
"NMKA 52","183402","Ivar Arosenius brev till sin mamma",""
"NMB 365","24307","Livet och döden","B0365.tif"
"NMB 498","24438","Självporträtt","B0498.tif"
"NMB 499","24439","Den första krogen","B0499.tif"
"NMB 500","24440","Madonna","B0500.tif"
"NMB 1230","25196","Noaks Ark","B1230.tif"
"NMB 1493","25463","Vårens första blomma. Porträtt av Ole Kruse","B1493.tif"
"NMB 1492","25462","Piga och konstapel","B1492verso.tif;B1492recto.tif"
"NMSk 1245","27512","Målaren Ivar Arosenius","Sk1245-2.tif;Sk1245.tif"
"NMB 2105","26041","Arken","B2105-före konservering.tif;B2105.tif"
"NMH 167/1975","48178","Lillans ask","H0167-1975-recto.tif;H0167-1975-verso.tif"
"NMH 161/1990","48318","Midsommardans","H0161-1990-verso.tif;H0161-1990-recto.tif"
"NMSk 1330","27587","Målaren Ivar Arosenius (1905)","SK1330.tif"
"NMH A 1/2008","122557","Elefant",""
"NMH 40/1994","48319","Porträtt av min hustru","H0040-1994-BA.tif;H0040-1994-recto.tif;H0040-1994-verso.tif;H0040-1994.tif"
"NMH A 2/2008","122558","Tiger",""
"NMH A 3/2008","122559","Vit och brun ko",""
"NMH A 4/2008","122560","Brun tjur",""
"NMH A 5/2008","122561","Björn",""
"NMH A 7/2008","122563","Hund",""
"NMH A 6/2008","122562","Get",""
"NMH A 8/2008","122564","Leopard",""
"NMH A 10/2008","122566","Vikingaskepp",""
"NMH A 9/2008","122565","Får",""
"NMH A 11/2008","122567","Trädgård med figurer",""
"NMH A 12/2008","122568","Man med trädgren",""
"NMKA 37","183266","Ivar Arosenius brev till sin mamma",""
"NMH 41/1979","183276","Professor Olle Nyman",""
"NMKA 39","183387","Ivar Arosenius brev till sin mamma",""
"NMKA 38","183389","Ivar Arosenius brev till sin mamma",""
"NMKA 41","183391","Ivar Arosenius brev till sin mamma",""
"NMKA 40","183390","Ivar Arosenius brev till sin mamma",""
"NMKA 43","183392","Ivar Arosenius brev till sin mamma",""
"NMKA 44","183394","Ivar Arosenius brev till sin mamma",""
"NMKA 42","183393","Ivar Arosenius brev till sin mamma",""
